paper_id,forum,number,title,decision,venue,venueid,keyword_score,keyword_hits,review_count,metareview_count,decision_note_count,pdf_url,pdf_path,json_path,review_text_path,openreview_url,mineru_v4_md_path,mineru_v4_status
mMaQvkMzDi,mMaQvkMzDi,2012,Beyond task performance: evaluating and reducing the flaws of large multimodal models with in-context-learning,Accept,ICLR 2024 poster,ICLR.cc/2024/Conference,10,large language model; language model; llm; agent; instruction; alignment; hallucination; benchmark; evaluation; text,4,1,1,https://openreview.net/pdf/44360af9a776b75990f4167a311735f25f8a2c33.pdf,code/dataset/prism_iclr2024_sample/pdf/011_Accept_Beyond_task_performance_evaluating_and_reducing_the_flaws_of_large_multimodal_models_with_.pdf,code/dataset/prism_iclr2024_sample/openreview_json/011_Accept_Beyond_task_performance_evaluating_and_reducing_the_flaws_of_large_multimodal_models_with_.json,code/dataset/prism_iclr2024_sample/reviews_txt/011_Accept_Beyond_task_performance_evaluating_and_reducing_the_flaws_of_large_multimodal_models_with_.md,https://openreview.net/forum?id=mMaQvkMzDi,code/dataset/prism_iclr2024_sample/md_mineru_v4/011_Accept_Beyond_task_performance_evaluating_and_reducing_the_flaws_of_large_multimodal_models_with_.md,done
m3RRWWFaVe,m3RRWWFaVe,1378,DENEVIL: TOWARDS DECIPHERING AND NAVIGATING THE ETHICAL VALUES OF LARGE LANGUAGE MODELS VIA INSTRUCTION LEARNING,Accept,ICLR 2024 poster,ICLR.cc/2024/Conference,10,large language model; language model; llm; prompt; instruction; alignment; benchmark; evaluation; text; generation,4,1,1,https://openreview.net/pdf/ca62b3d6c8d582899825304c6ee96c7b6281fb7a.pdf,code/dataset/prism_iclr2024_sample/pdf/012_Accept_DENEVIL_TOWARDS_DECIPHERING_AND_NAVIGATING_THE_ETHICAL_VALUES_OF_LARGE_LANGUAGE_MODELS_VIA.pdf,code/dataset/prism_iclr2024_sample/openreview_json/012_Accept_DENEVIL_TOWARDS_DECIPHERING_AND_NAVIGATING_THE_ETHICAL_VALUES_OF_LARGE_LANGUAGE_MODELS_VIA.json,code/dataset/prism_iclr2024_sample/reviews_txt/012_Accept_DENEVIL_TOWARDS_DECIPHERING_AND_NAVIGATING_THE_ETHICAL_VALUES_OF_LARGE_LANGUAGE_MODELS_VIA.md,https://openreview.net/forum?id=m3RRWWFaVe,code/dataset/prism_iclr2024_sample/md_mineru_v4/012_Accept_DENEVIL_TOWARDS_DECIPHERING_AND_NAVIGATING_THE_ETHICAL_VALUES_OF_LARGE_LANGUAGE_MODELS_VIA.md,done
CpgoO6j6W1,CpgoO6j6W1,9024,DECOUPLING REASONING FROM OBSERVATIONS FOR EFFICIENT AUGMENTED LANGUAGE MODELS,Reject,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; retrieval; reasoning; prompt; instruction; benchmark; evaluation; nlp,4,1,1,https://openreview.net/pdf/73cdd90ef10de8fc6c45bacc06477bfdf23f5d5c.pdf,code/dataset/prism_iclr2024_sample/pdf/013_Reject_DECOUPLING_REASONING_FROM_OBSERVATIONS_FOR_EFFICIENT_AUGMENTED_LANGUAGE_MODELS.pdf,code/dataset/prism_iclr2024_sample/openreview_json/013_Reject_DECOUPLING_REASONING_FROM_OBSERVATIONS_FOR_EFFICIENT_AUGMENTED_LANGUAGE_MODELS.json,code/dataset/prism_iclr2024_sample/reviews_txt/013_Reject_DECOUPLING_REASONING_FROM_OBSERVATIONS_FOR_EFFICIENT_AUGMENTED_LANGUAGE_MODELS.md,https://openreview.net/forum?id=CpgoO6j6W1,code/dataset/prism_iclr2024_sample/md_mineru_v4/013_Reject_DECOUPLING_REASONING_FROM_OBSERVATIONS_FOR_EFFICIENT_AUGMENTED_LANGUAGE_MODELS.md,done
q38SZkUmUh,q38SZkUmUh,8494,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,Reject,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; rag; review; prompt; hallucination; benchmark; evaluation; text,3,1,1,https://openreview.net/pdf/4b27cff503cd216919045332b5c1b917a690597b.pdf,code/dataset/prism_iclr2024_sample/pdf/014_Reject_FreshLLMs_Refreshing_Large_Language_Models_with_Search_Engine_Augmentation.pdf,code/dataset/prism_iclr2024_sample/openreview_json/014_Reject_FreshLLMs_Refreshing_Large_Language_Models_with_Search_Engine_Augmentation.json,code/dataset/prism_iclr2024_sample/reviews_txt/014_Reject_FreshLLMs_Refreshing_Large_Language_Models_with_Search_Engine_Augmentation.md,https://openreview.net/forum?id=q38SZkUmUh,code/dataset/prism_iclr2024_sample/md_mineru_v4/014_Reject_FreshLLMs_Refreshing_Large_Language_Models_with_Search_Engine_Augmentation.md,done
clU5xWyItb,clU5xWyItb,8010,PaperQA: Retrieval-Augmented Generative Agent for Scientific Research,Reject,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; retrieval; rag; agent; hallucination; benchmark; text; generation,4,1,1,https://openreview.net/pdf/8549ad2b6477cacdb21e43e32ae57b280f37d7f6.pdf,code/dataset/prism_iclr2024_sample/pdf/015_Reject_PaperQA_Retrieval-Augmented_Generative_Agent_for_Scientific_Research.pdf,code/dataset/prism_iclr2024_sample/openreview_json/015_Reject_PaperQA_Retrieval-Augmented_Generative_Agent_for_Scientific_Research.json,code/dataset/prism_iclr2024_sample/reviews_txt/015_Reject_PaperQA_Retrieval-Augmented_Generative_Agent_for_Scientific_Research.md,https://openreview.net/forum?id=clU5xWyItb,code/dataset/prism_iclr2024_sample/md_mineru_v4/015_Reject_PaperQA_Retrieval-Augmented_Generative_Agent_for_Scientific_Research.md,done
YKK1jXEWja,YKK1jXEWja,7717,Prospector: Improving LLM Agents with Self-Asking and Trajectory Ranking,Reject,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; agent; chain-of-thought; prompt; instruction; benchmark; text; generation,4,1,1,https://openreview.net/pdf/d54f2b53cc39a84196bf5d90bc3f516683a41524.pdf,code/dataset/prism_iclr2024_sample/pdf/016_Reject_Prospector_Improving_LLM_Agents_with_Self-Asking_and_Trajectory_Ranking.pdf,code/dataset/prism_iclr2024_sample/openreview_json/016_Reject_Prospector_Improving_LLM_Agents_with_Self-Asking_and_Trajectory_Ranking.json,code/dataset/prism_iclr2024_sample/reviews_txt/016_Reject_Prospector_Improving_LLM_Agents_with_Self-Asking_and_Trajectory_Ranking.md,https://openreview.net/forum?id=YKK1jXEWja,code/dataset/prism_iclr2024_sample/md_mineru_v4/016_Reject_Prospector_Improving_LLM_Agents_with_Self-Asking_and_Trajectory_Ranking.md,done
8JCn0kmS8W,8JCn0kmS8W,7520,WavJourney: Compositional Audio Creation with Large Language Models,Reject,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; rag; prompt; instruction; benchmark; evaluation; text; generation,5,1,1,https://openreview.net/pdf/2baa74595349fc94ba19f47e2baa4692cb17b30a.pdf,code/dataset/prism_iclr2024_sample/pdf/017_Reject_WavJourney_Compositional_Audio_Creation_with_Large_Language_Models.pdf,code/dataset/prism_iclr2024_sample/openreview_json/017_Reject_WavJourney_Compositional_Audio_Creation_with_Large_Language_Models.json,code/dataset/prism_iclr2024_sample/reviews_txt/017_Reject_WavJourney_Compositional_Audio_Creation_with_Large_Language_Models.md,https://openreview.net/forum?id=8JCn0kmS8W,code/dataset/prism_iclr2024_sample/md_mineru_v4/017_Reject_WavJourney_Compositional_Audio_Creation_with_Large_Language_Models.md,done
71kocBuhNO,71kocBuhNO,6607,LogicBench: Towards Systematic Evaluation of Logical Reasoning Ability of Large Language Models,Reject,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; reasoning; chain-of-thought; prompt; benchmark; evaluation; text; generation,5,1,1,https://openreview.net/pdf/59a86f92d13b5c04ef1ef97c855c414ab0c3b4ce.pdf,code/dataset/prism_iclr2024_sample/pdf/018_Reject_LogicBench_Towards_Systematic_Evaluation_of_Logical_Reasoning_Ability_of_Large_Language_Mo.pdf,code/dataset/prism_iclr2024_sample/openreview_json/018_Reject_LogicBench_Towards_Systematic_Evaluation_of_Logical_Reasoning_Ability_of_Large_Language_Mo.json,code/dataset/prism_iclr2024_sample/reviews_txt/018_Reject_LogicBench_Towards_Systematic_Evaluation_of_Logical_Reasoning_Ability_of_Large_Language_Mo.md,https://openreview.net/forum?id=71kocBuhNO,code/dataset/prism_iclr2024_sample/md_mineru_v4/018_Reject_LogicBench_Towards_Systematic_Evaluation_of_Logical_Reasoning_Ability_of_Large_Language_Mo.md,done
wk77w7DG1N,wk77w7DG1N,6094,Evaluating and Improving Generation Consistency of Large Language Models via A Divide-Conquer-Reasoning Approach,Reject,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; rag; reasoning; hallucination; benchmark; evaluation; text; generation,3,1,1,https://openreview.net/pdf/ec446bfe830974126bf8c579f0befbf76aa519f2.pdf,code/dataset/prism_iclr2024_sample/pdf/019_Reject_Evaluating_and_Improving_Generation_Consistency_of_Large_Language_Models_via_A_Divide-Conq.pdf,code/dataset/prism_iclr2024_sample/openreview_json/019_Reject_Evaluating_and_Improving_Generation_Consistency_of_Large_Language_Models_via_A_Divide-Conq.json,code/dataset/prism_iclr2024_sample/reviews_txt/019_Reject_Evaluating_and_Improving_Generation_Consistency_of_Large_Language_Models_via_A_Divide-Conq.md,https://openreview.net/forum?id=wk77w7DG1N,code/dataset/prism_iclr2024_sample/md_mineru_v4/019_Reject_Evaluating_and_Improving_Generation_Consistency_of_Large_Language_Models_via_A_Divide-Conq.md,done
b2XfOm3RJa,b2XfOm3RJa,4909,How Large Language Models Implement Chain-of-Thought?,Reject,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; retrieval; rag; reasoning; chain-of-thought; prompt; transformer; text,4,1,1,https://openreview.net/pdf/91c85cd50358696d6293bbef007f1eecdec318e4.pdf,code/dataset/prism_iclr2024_sample/pdf/020_Reject_How_Large_Language_Models_Implement_Chain-of-Thought.pdf,code/dataset/prism_iclr2024_sample/openreview_json/020_Reject_How_Large_Language_Models_Implement_Chain-of-Thought.json,code/dataset/prism_iclr2024_sample/reviews_txt/020_Reject_How_Large_Language_Models_Implement_Chain-of-Thought.md,https://openreview.net/forum?id=b2XfOm3RJa,code/dataset/prism_iclr2024_sample/md_mineru_v4/020_Reject_How_Large_Language_Models_Implement_Chain-of-Thought.md,done
MOtZlKkvdz,MOtZlKkvdz,4341,Are Large Language Models Post Hoc Explainers?,Reject,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; rag; prompt; instruction; benchmark; nlp; text; generation,3,1,1,https://openreview.net/pdf/164e9b75e1447f161b1c1ff942c73bee56ce1784.pdf,code/dataset/prism_iclr2024_sample/pdf/021_Reject_Are_Large_Language_Models_Post_Hoc_Explainers.pdf,code/dataset/prism_iclr2024_sample/openreview_json/021_Reject_Are_Large_Language_Models_Post_Hoc_Explainers.json,code/dataset/prism_iclr2024_sample/reviews_txt/021_Reject_Are_Large_Language_Models_Post_Hoc_Explainers.md,https://openreview.net/forum?id=MOtZlKkvdz,code/dataset/prism_iclr2024_sample/md_mineru_v4/021_Reject_Are_Large_Language_Models_Post_Hoc_Explainers.md,done
QzQSR56JZr,QzQSR56JZr,3948,Harnessing the Power of Large Language Models for Natural Language to First-Order Logic Translation,Reject,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; rag; reasoning; chain-of-thought; prompt; alignment; nlp; text,3,1,1,https://openreview.net/pdf/b9f08e47155b8f089f5568a2d160cdb58945011f.pdf,code/dataset/prism_iclr2024_sample/pdf/022_Reject_Harnessing_the_Power_of_Large_Language_Models_for_Natural_Language_to_First-Order_Logic_Tr.pdf,code/dataset/prism_iclr2024_sample/openreview_json/022_Reject_Harnessing_the_Power_of_Large_Language_Models_for_Natural_Language_to_First-Order_Logic_Tr.json,code/dataset/prism_iclr2024_sample/reviews_txt/022_Reject_Harnessing_the_Power_of_Large_Language_Models_for_Natural_Language_to_First-Order_Logic_Tr.md,https://openreview.net/forum?id=QzQSR56JZr,code/dataset/prism_iclr2024_sample/md_mineru_v4/022_Reject_Harnessing_the_Power_of_Large_Language_Models_for_Natural_Language_to_First-Order_Logic_Tr.md,done
8cNMMrWRbZ,8cNMMrWRbZ,2002,LMRL Gym: Benchmarks for Multi-Turn Reinforcement Learning with Language Models,Reject,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; rag; agent; prompt; benchmark; evaluation; text; generation,4,1,1,https://openreview.net/pdf/c99895c60c937e4874c84af70651aa4a24e5b35e.pdf,code/dataset/prism_iclr2024_sample/pdf/023_Reject_LMRL_Gym_Benchmarks_for_Multi-Turn_Reinforcement_Learning_with_Language_Models.pdf,code/dataset/prism_iclr2024_sample/openreview_json/023_Reject_LMRL_Gym_Benchmarks_for_Multi-Turn_Reinforcement_Learning_with_Language_Models.json,code/dataset/prism_iclr2024_sample/reviews_txt/023_Reject_LMRL_Gym_Benchmarks_for_Multi-Turn_Reinforcement_Learning_with_Language_Models.md,https://openreview.net/forum?id=8cNMMrWRbZ,code/dataset/prism_iclr2024_sample/md_mineru_v4/023_Reject_LMRL_Gym_Benchmarks_for_Multi-Turn_Reinforcement_Learning_with_Language_Models.md,done
RmRA7Q0lwQ,RmRA7Q0lwQ,894,Stay on Topic with Classifier-Free Guidance,Reject,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,language model; rag; reasoning; chain-of-thought; prompt; evaluation; transformer; nlp; text; generation,3,1,1,https://openreview.net/pdf/159f235a341d5e8296a369b0893bcfc6a9f8c1ab.pdf,code/dataset/prism_iclr2024_sample/pdf/024_Reject_Stay_on_Topic_with_Classifier-Free_Guidance.pdf,code/dataset/prism_iclr2024_sample/openreview_json/024_Reject_Stay_on_Topic_with_Classifier-Free_Guidance.json,code/dataset/prism_iclr2024_sample/reviews_txt/024_Reject_Stay_on_Topic_with_Classifier-Free_Guidance.md,https://openreview.net/forum?id=RmRA7Q0lwQ,code/dataset/prism_iclr2024_sample/md_mineru_v4/024_Reject_Stay_on_Topic_with_Classifier-Free_Guidance.md,done
fpYIlzOpIA,fpYIlzOpIA,744,NLPBench: Evaluating Large Language Models on Solving NLP Problems,Reject,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; reasoning; chain-of-thought; prompt; benchmark; evaluation; nlp; text,3,1,1,https://openreview.net/pdf/4917a0d7e486a1aaec7a00ed3637b40681860006.pdf,code/dataset/prism_iclr2024_sample/pdf/025_Reject_NLPBench_Evaluating_Large_Language_Models_on_Solving_NLP_Problems.pdf,code/dataset/prism_iclr2024_sample/openreview_json/025_Reject_NLPBench_Evaluating_Large_Language_Models_on_Solving_NLP_Problems.json,code/dataset/prism_iclr2024_sample/reviews_txt/025_Reject_NLPBench_Evaluating_Large_Language_Models_on_Solving_NLP_Problems.md,https://openreview.net/forum?id=fpYIlzOpIA,code/dataset/prism_iclr2024_sample/md_mineru_v4/025_Reject_NLPBench_Evaluating_Large_Language_Models_on_Solving_NLP_Problems.md,done
9OevMUdods,9OevMUdods,7061,Towards Understanding Factual Knowledge of Large Language Models,Accept,ICLR 2024 spotlight,ICLR.cc/2024/Conference,9,large language model; language model; llm; instruction; benchmark; evaluation; nlp; question answering; generation,4,1,1,https://openreview.net/pdf/025c1d2beaec72d3724b68ca610dd61083362fdc.pdf,code/dataset/prism_iclr2024_sample/pdf/026_Accept_Towards_Understanding_Factual_Knowledge_of_Large_Language_Models.pdf,code/dataset/prism_iclr2024_sample/openreview_json/026_Accept_Towards_Understanding_Factual_Knowledge_of_Large_Language_Models.json,code/dataset/prism_iclr2024_sample/reviews_txt/026_Accept_Towards_Understanding_Factual_Knowledge_of_Large_Language_Models.md,https://openreview.net/forum?id=9OevMUdods,code/dataset/prism_iclr2024_sample/md_mineru_v4/026_Accept_Towards_Understanding_Factual_Knowledge_of_Large_Language_Models.md,done
BXY6fe7q31,BXY6fe7q31,192,Fine-tuning Multimodal LLMs to Follow Zero-shot Demonstrative Instructions,Accept,ICLR 2024 spotlight,ICLR.cc/2024/Conference,9,large language model; language model; llm; prompt; instruction; benchmark; evaluation; text; generation,4,1,1,https://openreview.net/pdf/2c2260fc62d6a180e12e943725968e430205fe0a.pdf,code/dataset/prism_iclr2024_sample/pdf/027_Accept_Fine-tuning_Multimodal_LLMs_to_Follow_Zero-shot_Demonstrative_Instructions.pdf,code/dataset/prism_iclr2024_sample/openreview_json/027_Accept_Fine-tuning_Multimodal_LLMs_to_Follow_Zero-shot_Demonstrative_Instructions.json,code/dataset/prism_iclr2024_sample/reviews_txt/027_Accept_Fine-tuning_Multimodal_LLMs_to_Follow_Zero-shot_Demonstrative_Instructions.md,https://openreview.net/forum?id=BXY6fe7q31,code/dataset/prism_iclr2024_sample/md_mineru_v4/027_Accept_Fine-tuning_Multimodal_LLMs_to_Follow_Zero-shot_Demonstrative_Instructions.md,done
