paper_index,paper_id,forum,title,decision,decision_binary,venue,venueid,keyword_score,keyword_hits,review_count_manifest,metareview_count_manifest,decision_note_count_manifest,direct_replies_count_json,openreview_url,pdf_url,pdf_local_exists,markdown_path,review_text_path,json_path,markdown_chars,review_text_chars,markdown_sha256,review_text_sha256,json_sha256,local_json_ok
011,mMaQvkMzDi,mMaQvkMzDi,Beyond task performance: evaluating and reducing the flaws of large multimodal models with in-context-learning,Accept,1,ICLR 2024 poster,ICLR.cc/2024/Conference,10,large language model; language model; llm; agent; instruction; alignment; hallucination; benchmark; evaluation; text,4,1,1,7,https://openreview.net/forum?id=mMaQvkMzDi,https://openreview.net/pdf/44360af9a776b75990f4167a311735f25f8a2c33.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/011_Accept_Beyond_task_performance_evaluating_and_reducing_the_flaws_of_large_multimodal_models_with_.md,code/dataset/prism_iclr2024_sample/reviews_txt/011_Accept_Beyond_task_performance_evaluating_and_reducing_the_flaws_of_large_multimodal_models_with_.md,code/dataset/prism_iclr2024_sample/openreview_json/011_Accept_Beyond_task_performance_evaluating_and_reducing_the_flaws_of_large_multimodal_models_with_.json,107933,10726,312cd7082de2402b9f1b90e42dfe9ba42cafbb1cac27e0f0425ece48a1f77857,2f1d71e76a3adcb5efea01cc4b90354c88d9e5c2be252ed76c395716d109f830,51046473657c645048fd512628443c4cfc2199ea339d1db4c2421fb588f001a6,True
012,m3RRWWFaVe,m3RRWWFaVe,DENEVIL: TOWARDS DECIPHERING AND NAVIGATING THE ETHICAL VALUES OF LARGE LANGUAGE MODELS VIA INSTRUCTION LEARNING,Accept,1,ICLR 2024 poster,ICLR.cc/2024/Conference,10,large language model; language model; llm; prompt; instruction; alignment; benchmark; evaluation; text; generation,4,1,1,7,https://openreview.net/forum?id=m3RRWWFaVe,https://openreview.net/pdf/ca62b3d6c8d582899825304c6ee96c7b6281fb7a.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/012_Accept_DENEVIL_TOWARDS_DECIPHERING_AND_NAVIGATING_THE_ETHICAL_VALUES_OF_LARGE_LANGUAGE_MODELS_VIA.md,code/dataset/prism_iclr2024_sample/reviews_txt/012_Accept_DENEVIL_TOWARDS_DECIPHERING_AND_NAVIGATING_THE_ETHICAL_VALUES_OF_LARGE_LANGUAGE_MODELS_VIA.md,code/dataset/prism_iclr2024_sample/openreview_json/012_Accept_DENEVIL_TOWARDS_DECIPHERING_AND_NAVIGATING_THE_ETHICAL_VALUES_OF_LARGE_LANGUAGE_MODELS_VIA.json,192639,11650,d7b10bcbaf2ffd037fe50b4c2fbe921481247ac38139236644ca94c168db62b3,d7ce7a7ea396745b0d8b3db5654d68ab228bac18efaeeaa726c30a6b0707f4ad,c5d25eaf29b19a42b741a5afbd02d597b40485743dcf3b3a77e8c73d1295d648,True
013,CpgoO6j6W1,CpgoO6j6W1,DECOUPLING REASONING FROM OBSERVATIONS FOR EFFICIENT AUGMENTED LANGUAGE MODELS,Reject,0,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; retrieval; reasoning; prompt; instruction; benchmark; evaluation; nlp,4,1,1,6,https://openreview.net/forum?id=CpgoO6j6W1,https://openreview.net/pdf/73cdd90ef10de8fc6c45bacc06477bfdf23f5d5c.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/013_Reject_DECOUPLING_REASONING_FROM_OBSERVATIONS_FOR_EFFICIENT_AUGMENTED_LANGUAGE_MODELS.md,code/dataset/prism_iclr2024_sample/reviews_txt/013_Reject_DECOUPLING_REASONING_FROM_OBSERVATIONS_FOR_EFFICIENT_AUGMENTED_LANGUAGE_MODELS.md,code/dataset/prism_iclr2024_sample/openreview_json/013_Reject_DECOUPLING_REASONING_FROM_OBSERVATIONS_FOR_EFFICIENT_AUGMENTED_LANGUAGE_MODELS.json,83977,13368,048ee62bbd33ca8f44c3401e9d361f8afa7ba532004bbdf272950861c3ee27de,eb6dde0928cab1b802ffd4555cb4d5c5b2f7322c7aeca10d7f16cf7571787ca2,2fcbefef4cf35319d8677146a5b6b5866b1f48393e1a156415c2d26c073b757e,True
014,q38SZkUmUh,q38SZkUmUh,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,Reject,0,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; rag; review; prompt; hallucination; benchmark; evaluation; text,3,1,1,5,https://openreview.net/forum?id=q38SZkUmUh,https://openreview.net/pdf/4b27cff503cd216919045332b5c1b917a690597b.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/014_Reject_FreshLLMs_Refreshing_Large_Language_Models_with_Search_Engine_Augmentation.md,code/dataset/prism_iclr2024_sample/reviews_txt/014_Reject_FreshLLMs_Refreshing_Large_Language_Models_with_Search_Engine_Augmentation.md,code/dataset/prism_iclr2024_sample/openreview_json/014_Reject_FreshLLMs_Refreshing_Large_Language_Models_with_Search_Engine_Augmentation.json,78288,10967,0e28042d5dc48c4ee8d532516754d9797ee465dfa6e79ba25284773abd366a3e,34e7d3097e02b8953938d71adfb111aa5e226db9e0618a641ad945b66185d112,01e45c669ed810c67e5ba0fa8681c862b1148e46824589543ea3c18f7edf4499,True
015,clU5xWyItb,clU5xWyItb,PaperQA: Retrieval-Augmented Generative Agent for Scientific Research,Reject,0,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; retrieval; rag; agent; hallucination; benchmark; text; generation,4,1,1,6,https://openreview.net/forum?id=clU5xWyItb,https://openreview.net/pdf/8549ad2b6477cacdb21e43e32ae57b280f37d7f6.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/015_Reject_PaperQA_Retrieval-Augmented_Generative_Agent_for_Scientific_Research.md,code/dataset/prism_iclr2024_sample/reviews_txt/015_Reject_PaperQA_Retrieval-Augmented_Generative_Agent_for_Scientific_Research.md,code/dataset/prism_iclr2024_sample/openreview_json/015_Reject_PaperQA_Retrieval-Augmented_Generative_Agent_for_Scientific_Research.json,69108,15642,87443f63d4ea7436c82279cbb1a9fe26cd649aadb6d06806d70f9444cc59854b,8e6bd4d381fcf862316550465c8fefe42ecf116f9a3f1b06ad8bff26b8f8e851,05975c0bcdad5b10f657cbfca9c3c2b570785a2ca88a7c005933c2cbb8f2fbcc,True
016,YKK1jXEWja,YKK1jXEWja,Prospector: Improving LLM Agents with Self-Asking and Trajectory Ranking,Reject,0,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; agent; chain-of-thought; prompt; instruction; benchmark; text; generation,4,1,1,6,https://openreview.net/forum?id=YKK1jXEWja,https://openreview.net/pdf/d54f2b53cc39a84196bf5d90bc3f516683a41524.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/016_Reject_Prospector_Improving_LLM_Agents_with_Self-Asking_and_Trajectory_Ranking.md,code/dataset/prism_iclr2024_sample/reviews_txt/016_Reject_Prospector_Improving_LLM_Agents_with_Self-Asking_and_Trajectory_Ranking.md,code/dataset/prism_iclr2024_sample/openreview_json/016_Reject_Prospector_Improving_LLM_Agents_with_Self-Asking_and_Trajectory_Ranking.json,57083,16369,bf05b437cb16cd96b433e8e06743e1b179ce9424f556aca90b7e093aa41664c1,b5a761f52acb9dcf666469e6e88febfb165e780fa55ca582acf026cfae2526c6,c7f85b6e78795137c7228bd74f073d4af943b77d52729f1e93483a94f920351b,True
017,8JCn0kmS8W,8JCn0kmS8W,WavJourney: Compositional Audio Creation with Large Language Models,Reject,0,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; rag; prompt; instruction; benchmark; evaluation; text; generation,5,1,1,8,https://openreview.net/forum?id=8JCn0kmS8W,https://openreview.net/pdf/2baa74595349fc94ba19f47e2baa4692cb17b30a.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/017_Reject_WavJourney_Compositional_Audio_Creation_with_Large_Language_Models.md,code/dataset/prism_iclr2024_sample/reviews_txt/017_Reject_WavJourney_Compositional_Audio_Creation_with_Large_Language_Models.md,code/dataset/prism_iclr2024_sample/openreview_json/017_Reject_WavJourney_Compositional_Audio_Creation_with_Large_Language_Models.json,80932,19105,7b526b70aefee9d31d7bb09e3e5917da4983ab4b26707a88834380b7c61c5f09,382f7db54eb3fdacb91603587ceaecdc6ac71534175a24cee5aa342fa881334b,97bfb1729c6b23c62b07eaf9bcaa9fcf954bbd369575b33500ce89368c9e3b00,True
018,71kocBuhNO,71kocBuhNO,LogicBench: Towards Systematic Evaluation of Logical Reasoning Ability of Large Language Models,Reject,0,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; reasoning; chain-of-thought; prompt; benchmark; evaluation; text; generation,5,1,1,8,https://openreview.net/forum?id=71kocBuhNO,https://openreview.net/pdf/59a86f92d13b5c04ef1ef97c855c414ab0c3b4ce.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/018_Reject_LogicBench_Towards_Systematic_Evaluation_of_Logical_Reasoning_Ability_of_Large_Language_Mo.md,code/dataset/prism_iclr2024_sample/reviews_txt/018_Reject_LogicBench_Towards_Systematic_Evaluation_of_Logical_Reasoning_Ability_of_Large_Language_Mo.md,code/dataset/prism_iclr2024_sample/openreview_json/018_Reject_LogicBench_Towards_Systematic_Evaluation_of_Logical_Reasoning_Ability_of_Large_Language_Mo.json,160900,21528,1ad50f2e23a0cc26d2b60c0e9a7aa57b00e492cf6bcb6b3d11d0a80001edd7f8,50010c614e5f5fa34894a14ce3c3f2efa680f2ae05b83d32d80b26c0f2b0d26b,1db30ac08d896bb414c44c3a9a20d30c2879712063491c9fab3a3bedb89cd2ca,True
019,wk77w7DG1N,wk77w7DG1N,Evaluating and Improving Generation Consistency of Large Language Models via A Divide-Conquer-Reasoning Approach,Reject,0,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; rag; reasoning; hallucination; benchmark; evaluation; text; generation,3,1,1,6,https://openreview.net/forum?id=wk77w7DG1N,https://openreview.net/pdf/ec446bfe830974126bf8c579f0befbf76aa519f2.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/019_Reject_Evaluating_and_Improving_Generation_Consistency_of_Large_Language_Models_via_A_Divide-Conq.md,code/dataset/prism_iclr2024_sample/reviews_txt/019_Reject_Evaluating_and_Improving_Generation_Consistency_of_Large_Language_Models_via_A_Divide-Conq.md,code/dataset/prism_iclr2024_sample/openreview_json/019_Reject_Evaluating_and_Improving_Generation_Consistency_of_Large_Language_Models_via_A_Divide-Conq.json,82788,12009,6677582445ef0a7f4f2e3a5214daf691e6bba2a2c92130ea1da38f8530d62388,0e99192a7fc2540062650e122a9bf04600c512d0fcc98ea2ee4892d3f87067d6,b156a9854037ab25196e0f7c9e60cf43a0cd639169ae8efe810352b905b80a31,True
020,b2XfOm3RJa,b2XfOm3RJa,How Large Language Models Implement Chain-of-Thought?,Reject,0,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; retrieval; rag; reasoning; chain-of-thought; prompt; transformer; text,4,1,1,6,https://openreview.net/forum?id=b2XfOm3RJa,https://openreview.net/pdf/91c85cd50358696d6293bbef007f1eecdec318e4.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/020_Reject_How_Large_Language_Models_Implement_Chain-of-Thought.md,code/dataset/prism_iclr2024_sample/reviews_txt/020_Reject_How_Large_Language_Models_Implement_Chain-of-Thought.md,code/dataset/prism_iclr2024_sample/openreview_json/020_Reject_How_Large_Language_Models_Implement_Chain-of-Thought.json,55430,18098,6cc230d63f3c4264ec74677428a9632c0a820127aa8dee14088b81092ff5197c,52d0c259f89ff64ae45f0154b987ad799d5ed0961709d65e1d41bfb7b4abbf29,741176418e8fe833a9fad4394cc2c797f9355cf9f66584249b6f3d853284720a,True
021,MOtZlKkvdz,MOtZlKkvdz,Are Large Language Models Post Hoc Explainers?,Reject,0,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; rag; prompt; instruction; benchmark; nlp; text; generation,3,1,1,5,https://openreview.net/forum?id=MOtZlKkvdz,https://openreview.net/pdf/164e9b75e1447f161b1c1ff942c73bee56ce1784.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/021_Reject_Are_Large_Language_Models_Post_Hoc_Explainers.md,code/dataset/prism_iclr2024_sample/reviews_txt/021_Reject_Are_Large_Language_Models_Post_Hoc_Explainers.md,code/dataset/prism_iclr2024_sample/openreview_json/021_Reject_Are_Large_Language_Models_Post_Hoc_Explainers.json,71782,13284,809a5b872fef023f8b1cc8219435fe5ca6412095784acd95090e07e4cb621154,92d17712120634eb0ada5fb83b36776f67c759c0b526eedfcd5bc07aa5750cba,6738e77ac0953be4f5e8fdec19342158846b8fa73bf9070992789b607454fb08,True
022,QzQSR56JZr,QzQSR56JZr,Harnessing the Power of Large Language Models for Natural Language to First-Order Logic Translation,Reject,0,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; rag; reasoning; chain-of-thought; prompt; alignment; nlp; text,3,1,1,5,https://openreview.net/forum?id=QzQSR56JZr,https://openreview.net/pdf/b9f08e47155b8f089f5568a2d160cdb58945011f.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/022_Reject_Harnessing_the_Power_of_Large_Language_Models_for_Natural_Language_to_First-Order_Logic_Tr.md,code/dataset/prism_iclr2024_sample/reviews_txt/022_Reject_Harnessing_the_Power_of_Large_Language_Models_for_Natural_Language_to_First-Order_Logic_Tr.md,code/dataset/prism_iclr2024_sample/openreview_json/022_Reject_Harnessing_the_Power_of_Large_Language_Models_for_Natural_Language_to_First-Order_Logic_Tr.json,50034,8579,1f2bdf792bd5433726ef2a89099db0dd634a520b34578254ba37b375e8c330e2,e15651199e3f2f725f4323eddde8d15744ed53c360cdfab2a289152fbabb66ff,1b25e5a7eb7b639bb18cdb6700fb394b5e1f1c6a4e9522e8503f4eea36b39df4,True
023,8cNMMrWRbZ,8cNMMrWRbZ,LMRL Gym: Benchmarks for Multi-Turn Reinforcement Learning with Language Models,Reject,0,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,10,large language model; language model; llm; rag; agent; prompt; benchmark; evaluation; text; generation,4,1,1,6,https://openreview.net/forum?id=8cNMMrWRbZ,https://openreview.net/pdf/c99895c60c937e4874c84af70651aa4a24e5b35e.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/023_Reject_LMRL_Gym_Benchmarks_for_Multi-Turn_Reinforcement_Learning_with_Language_Models.md,code/dataset/prism_iclr2024_sample/reviews_txt/023_Reject_LMRL_Gym_Benchmarks_for_Multi-Turn_Reinforcement_Learning_with_Language_Models.md,code/dataset/prism_iclr2024_sample/openreview_json/023_Reject_LMRL_Gym_Benchmarks_for_Multi-Turn_Reinforcement_Learning_with_Language_Models.json,124500,19057,2e9a846ab2df1c925c40d405d0fd7c8887b89851065b99facf408a94d61428ec,2ea618730895c911e05da7dd4cd0ebe0c5424ee06b0f510a7817ae3dde3069f4,48a7dc8fb56cf566d423a3f1146ff48c64e895658744545319e9b911f2fa5733,True
